,name,id,device,dataset,_runtime,max_epoch,_timestamp,batch_size,hash,seed,trained_norms,full_batch,model_args,train_exact_f1,epoch_training_time,epoch,loss_func,training_loss,accumulate_steps,model,metrics,train_exact_match,opt,_step,valid_exact_f1,valid_exact_match,train_ppl,training_error,train_accuracy,valid_accuracy,drop_last,n,valid_ppl,step_size,init_noise_norm,log_every_step,grad_norm,debug,noise_norm_train,train_run_iter,initial_run_iter,train_mse,valid_mse
34,splendid-river-8865,603293ey,cuda,squad,15958.0,4,1629365874.0,24.0,6d9ef1b04ef6da6ef1c4b474a6cc4b18,3.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",75.85019676601452,1991.8478245735168,3.0,logloss,1.2288838062175484,,bert_base_pretrained,"['f1', 'exact_match']",60.55891048984577,"{'alpha': 5e-05, 'momentum': 0.9, 'name': 'SGD'}",7.0,80.5898354557572,69.98107852412488,,,,,,,,,,,,,,,,,
35,olive-energy-8865,2bs31tcn,cuda,squad,15960.0,4,1629365876.0,24.0,6204f562a2f611acf5986e1553799a67,1.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",86.62006248199958,1983.3784584999084,3.0,logloss,0.790677805202115,,bert_base_pretrained,"['f1', 'exact_match']",73.73371842144317,"{'name': 'SGD', 'alpha': 0.0005, 'momentum': 0.9}",7.0,85.46495577789675,76.51844843897824,,,,,,,,,,,,,,,,,
36,breezy-bee-8868,211k6mco,cuda,squad,13836.0,4,1629363752.0,24.0,41d96ad71caffa194fa4982b32e50400,1.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",64.04643283195945,2201.341262817383,3.0,logloss,1.754738090155715,,bert_base_pretrained,"['f1', 'exact_match']",47.860135389673395,"{'name': 'SGD', 'alpha': 1e-05, 'momentum': 0.9}",7.0,68.59148366413163,55.723746452223274,,,,,,,,,,,,,,,,,
37,wobbly-glitter-8867,1go96s3m,cuda,squad,13837.0,4,1629363753.0,24.0,589c9d541d1e3d5d5d64dae044f24c60,3.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",86.6282981730982,2202.665641784668,3.0,logloss,0.7859506123287733,,bert_base_pretrained,"['f1', 'exact_match']",73.54764323793651,"{'name': 'SGD', 'alpha': 0.0005, 'momentum': 0.9}",7.0,84.85742903774566,75.3263954588458,,,,,,,,,,,,,,,,,
38,morning-durian-8861,691flyjo,cuda,squad,12961.0,4,1629362876.0,24.0,93f504ff595afce5e9b5ec758aa8aaa9,3.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",79.41694220745227,2034.900592803955,3.0,logloss,1.0725796881436322,,bert_base_pretrained,"['f1', 'exact_match']",64.6537060925353,"{'name': 'SGD', 'alpha': 0.0001, 'momentum': 0.9}",7.0,82.89412562308603,72.92336802270577,,,,,,,,,,,,,,,,,
39,dainty-universe-8863,59ykwxvw,cuda,squad,12962.0,4,1629362877.0,24.0,8c7bee86d4dc83c78b3c8c5350c4f1e0,0.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",86.86512323298057,2066.025804758072,3.0,logloss,0.7784705437485399,,bert_base_pretrained,"['f1', 'exact_match']",74.2645463989315,"{'name': 'SGD', 'alpha': 0.0005, 'momentum': 0.9}",7.0,85.17152315044979,76.33869441816462,,,,,,,,,,,,,,,,,
40,devoted-forest-8861,1xnm2uwb,cuda,squad,12960.0,4,1629362875.0,24.0,843e9065a55ee13c56e419999484c178,1.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",7.732793606012809,2075.836582660675,3.0,logloss,4.663618906806497,,bert_base_pretrained,"['f1', 'exact_match']",1.208917910021804,"{'name': 'SGD', 'alpha': 1e-06, 'momentum': 0.9}",7.0,8.908128038709494,1.6556291390728477,,,,,,,,,,,,,,,,,
41,atomic-dew-8863,119cfcn1,cuda,squad,12997.0,4,1629362912.0,24.0,9d3511f3124905147489ff84c6b91445,2.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",79.27741297195438,2074.850241422653,3.0,logloss,1.073384326093011,,bert_base_pretrained,"['f1', 'exact_match']",64.54069110377972,"{'name': 'SGD', 'alpha': 0.0001, 'momentum': 0.9}",7.0,82.54938373172743,72.61116367076632,,,,,,,,,,,,,,,,,
42,dulcet-blaze-8859,f6eqg1s6,cuda,squad,14911.0,4,1629364826.0,24.0,6fbe02b07d1315a8b71675845596db90,0.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",8.315666715791089,1998.528329372406,3.0,logloss,4.649389038659969,,bert_base_pretrained,"['f1', 'exact_match']",1.6975079624196625,"{'name': 'SGD', 'alpha': 1e-06, 'momentum': 0.9}",7.0,9.43632444840237,1.854304635761589,,,,,,,,,,,,,,,,,
43,rose-totem-8859,2qydyvh2,cuda,squad,14913.0,4,1629364828.0,24.0,7ba0e369f033ce0e54217a9f9788b5ee,1.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",75.94158706784465,2019.24006319046,3.0,logloss,1.2321311154052432,,bert_base_pretrained,"['f1', 'exact_match']",60.587449628420416,"{'name': 'SGD', 'alpha': 5e-05, 'momentum': 0.9}",7.0,80.4420501212005,69.9526963103122,,,,,,,,,,,,,,,,,
